index,Feature,mean,max,min,25%,50%,75%
11,y_coord,0.0737,18.3391,-1.472,-0.6,-0.404,-0.0045
0,18_POPDEN,-0.1667,9.6654,-4.0484,-1.4154,-0.3629,1.3214
8,18_QESL,0.1759,8.2452,-0.4877,-0.0559,-0.0251,0.0277
10,x_coord,0.0279,6.9493,-1.4789,-0.7459,-0.2504,0.5322
5,18_QUNEMPL,-0.0362,5.2528,-5.2069,-0.1362,-0.0958,-0.0606
6,18_QPOVTY,-0.0239,3.5361,-1.837,-0.0737,-0.0306,0.0371
7,18_QHSEBUR,0.03,1.7869,-0.8231,-0.0467,0.0065,0.0814
4,18_QAGED65,-0.0093,1.6295,-0.4221,-0.1046,-0.0489,-0.0064
9,18_QNOBD,-0.0401,1.5577,-1.8625,-0.1637,-0.0788,0.1147
2,18_QBLACK,0.009,1.0783,-0.4321,-0.0049,0.0047,0.0185
3,18_QHISP,0.0485,0.8785,-0.3608,-0.0221,0.0022,0.1286
1,18_QWHITE,-0.0276,0.5516,-0.4645,-0.1474,-0.0355,0.0546
